City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,constantia,44.1833,28.65,37.61,53,4,12.53,RO,1690284760
135,filadelfia,39.9523,-75.1638,23.42,91,40,2.06,US,1690284544
136,port elizabeth,-33.918,25.5701,20.61,42,0,3.09,ZA,1690284761
137,west island,-12.1568,96.8225,24.99,73,75,8.23,CC,1690284761
138,fiambala,-27.6871,-67.6149,11.69,34,51,1.23,AR,1690284761
139,belmonte,-15.8631,-38.8828,22.32,86,90,2.74,BR,1690284761
140,qinggang,46.6833,126.0833,21.79,83,14,2.71,CN,1690284762
141,east london,-33.0153,27.9116,17.52,55,0,3.09,ZA,1690284763
142,namtsy,62.7161,129.6658,18.97,54,5,3.16,RU,1690284763
143,dolores,-36.3132,-57.6792,6.18,92,30,2.93,AR,1690284763
144,macau,22.2006,113.5461,32.89,74,20,4.63,MO,1690284456
145,bardai,11.65,7.2333,30.6,50,7,3.61,NG,1690284764
146,twon-brass,4.3151,6.2418,26.46,79,84,4.33,NG,1690284765
147,tubarjal,30.4999,38.216,39.41,10,0,5.54,SA,1690284765
148,bang saphan,11.2126,99.5117,26.54,85,97,2.62,TH,1690284765
149,punta umbria,37.1821,-6.9661,28.46,29,0,4.98,ES,1690284766
150,garissa,-0.4536,39.6401,30.99,42,70,10.64,KE,1690284766
151,esmeraldas,-19.7625,-44.3139,17.58,59,0,3.1,BR,1690284766
152,xining,36.6167,101.7667,16.47,72,78,2.98,CN,1690284639
153,lusambo,-4.9667,23.45,40.47,14,58,1.18,CD,1690284767
154,kuqa,41.7278,82.9364,35.03,19,98,7.22,CN,1690284767
155,san borja,-14.8167,-66.85,22.11,71,49,0.74,BO,1690284470
156,avarua,-21.2078,-159.775,21.03,78,100,1.03,CK,1690284752
157,khanpur mahar,27.8436,69.4137,37.38,45,99,2.53,PK,1690284768
158,ma'an,26.9775,110.7211,26.97,85,99,2.69,CN,1690284768
159,utrik,11.2278,169.8474,28.34,75,98,8.59,MH,1690284768
160,flying fish cove,-10.4217,105.6791,24.82,83,75,3.09,CX,1690284769
161,adzope,6.1069,-3.8619,26.69,82,100,1.18,CI,1690284769
162,khandyga,62.6667,135.6,17.97,95,39,3.09,RU,1690284769
163,stonehaven,56.9637,-2.2118,16.5,62,98,4.01,GB,1690284770
164,siocon,7.7061,122.1353,26.55,86,99,4.01,PH,1690284770
165,nicoya,10.1483,-85.452,24.14,87,78,4.16,CR,1690284770
166,tsiombe,-25.3,45.4833,19.95,63,85,6.21,MG,1690284771
167,acu,-5.5767,-36.9086,29.03,48,55,5.42,BR,1690284771
168,umea,63.8284,20.2597,15.96,72,75,2.06,SE,1690284771
169,mezhdurechenskiy,59.6,65.9333,24.54,45,44,3.42,RU,1690284772
170,punta arenas,-53.15,-70.9167,-3.27,92,48,2.79,CL,1690284772
171,bikenibeu village,1.3673,173.1241,25.98,94,75,0.0,KI,1690284772
172,palikir - national government center,6.9248,158.1611,25.41,94,100,2.57,FM,1690284773
173,atafu village,-8.5421,-172.5159,29.15,74,13,9.66,TK,1690284773
174,jining,35.405,116.5814,30.21,61,11,2.78,CN,1690284773
175,filipstad,59.7124,14.1683,16.94,76,95,3.54,SE,1690284774
176,kodiak,57.79,-152.4072,6.73,93,0,2.57,US,1690284774
177,nagqu,31.5,92.0,11.34,73,97,1.42,CN,1690284740
178,tyukhtet,56.5389,89.3011,23.37,66,98,2.28,RU,1690284775
